Customer_ID,Customer_Name,Industry,Region,City,Credit_Limit,Sales_Manager,Customer_Segment,Risk_Base_Score,Customer_Credit_Rating,Customer_Status
CUST0126,Delta Logistics,Pharma,North,Kolkata,1000000,N. Verma,Mid-Market,60,C,Active
CUST0127,Zenith Traders,IT Services,North,Kolkata,2000000,V. Rao,SME,40,B,Active
CUST0128,Gamma Logistics,Automotive,South,Jaipur,1500000,K. Gupta,Mid-Market,27,A,Active
CUST0129,Delta Industries,Healthcare,East,Chennai,750000,A. Sharma,SME,50,B,Active
CUST0130,Delta Retail,Pharma,North,Hyderabad,1000000,R. Singh,Mid-Market,26,A,Active
CUST0131,Beta Logistics,Pharma,West,Mumbai,750000,N. Verma,SME,43,B,Active
CUST0132,Apex Traders,Retail,South,Mumbai,1000000,V. Rao,SME,51,C,Active
CUST0133,Apex Industries,Healthcare,North,Jaipur,3000000,K. Gupta,Mid-Market,66,C,Active
CUST0134,Gamma Logistics,Retail,West,Hyderabad,1500000,S. Kapoor,Enterprise,48,B,Active
CUST0135,Vertex Retail,Automotive,East,Mumbai,750000,S. Kapoor,Enterprise,41,B,Active
CUST0136,Global Traders,Automotive,South,Jaipur,1500000,R. Singh,Mid-Market,77,D,Active
CUST0137,Prime Pharma,IT Services,North,Delhi,250000,K. Gupta,Enterprise,48,B,Active
CUST0138,Beta Industries,Healthcare,South,Jaipur,1500000,K. Gupta,SME,37,B,Active
CUST0139,Beta Solutions,Automotive,East,Hyderabad,500000,N. Verma,Enterprise,45,B,Active
CUST0140,Prime Pharma,Automotive,West,Jaipur,500000,S. Kapoor,SME,79,D,Active
CUST0141,Nova Traders,Construction,South,Bengaluru,3000000,S. Kapoor,Mid-Market,28,A,Active
CUST0142,Alpha Solutions,Manufacturing,East,Pune,500000,R. Singh,Mid-Market,57,C,Active
CUST0143,Alpha Solutions,Manufacturing,North,Kolkata,1500000,K. Gupta,Mid-Market,34,B,Active
CUST0144,Zenith Traders,Retail,West,Kolkata,750000,A. Sharma,Enterprise,40,B,Active
CUST0145,Gamma Solutions,Healthcare,North,Mumbai,1500000,A. Sharma,Enterprise,18,A,Active
CUST0146,Vertex Foods,Healthcare,West,Pune,250000,V. Rao,Enterprise,62,C,Active
CUST0147,Delta Pharma,Manufacturing,North,Delhi,2000000,K. Gupta,SME,29,A,Active
CUST0148,Nova Retail,FMCG,South,Kolkata,750000,R. Singh,Mid-Market,37,B,Active
CUST0149,Prime Solutions,Construction,West,Bengaluru,250000,A. Sharma,Mid-Market,60,C,Active
CUST0150,Nova Traders,FMCG,West,Jaipur,1500000,K. Gupta,SME,62,C,Active
CUST0151,Delta Traders,Construction,South,Pune,250000,N. Verma,SME,39,B,Active
CUST0152,Beta Logistics,Construction,East,Kolkata,250000,K. Gupta,Mid-Market,30,A,Active
CUST0153,Zenith Traders,Retail,West,Mumbai,2000000,V. Rao,Enterprise,77,D,Active
CUST0154,Prime Traders,Construction,South,Hyderabad,2000000,S. Kapoor,Mid-Market,70,C,Active
CUST0155,Vertex Industries,FMCG,East,Chennai,1000000,A. Sharma,SME,69,C,Active
CUST0156,Beta Enterprises,Manufacturing,North,Mumbai,2000000,S. Kapoor,Mid-Market,78,D,Active
CUST0157,Global Industries,FMCG,East,Bengaluru,750000,P. Mehta,Mid-Market,37,B,Active
CUST0158,Beta Enterprises,Construction,West,Pune,750000,K. Gupta,SME,67,C,Active
CUST0159,Apex Industries,Healthcare,North,Chennai,750000,N. Verma,Enterprise,69,C,Active
CUST0160,Zenith Retail,IT Services,South,Jaipur,750000,K. Gupta,Enterprise,62,C,Active
CUST0161,Prime Industries,Automotive,West,Hyderabad,3000000,K. Gupta,SME,31,B,Active
CUST0162,Zenith Solutions,IT Services,South,Hyderabad,250000,P. Mehta,Mid-Market,38,B,Active
CUST0163,Alpha Logistics,IT Services,North,Jaipur,750000,P. Mehta,Mid-Market,55,C,Active
CUST0164,Vertex Traders,Automotive,South,Jaipur,2000000,P. Mehta,SME,70,C,Active
CUST0165,Beta Industries,Construction,East,Hyderabad,750000,R. Singh,Mid-Market,72,D,Inactive
CUST0166,Nova Pharma,FMCG,East,Bengaluru,750000,V. Rao,Enterprise,28,A,Active
CUST0167,Apex Enterprises,Automotive,West,Jaipur,2000000,A. Sharma,Mid-Market,16,A,Active
CUST0168,Delta Foods,Pharma,East,Chennai,500000,K. Gupta,SME,57,C,Active
CUST0169,Gamma Industries,Automotive,East,Jaipur,250000,R. Singh,SME,62,C,Active
CUST0170,Vertex Traders,FMCG,North,Bengaluru,250000,V. Rao,Mid-Market,73,D,Active
CUST0171,Apex Enterprises,Pharma,West,Hyderabad,500000,P. Mehta,SME,17,A,Active
CUST0172,Prime Foods,Automotive,South,Kolkata,250000,K. Gupta,Mid-Market,34,B,Active
CUST0173,Apex Foods,Healthcare,North,Bengaluru,1500000,S. Kapoor,Enterprise,59,C,Active
CUST0174,Zenith Traders,FMCG,South,Mumbai,2000000,V. Rao,SME,52,C,Active
CUST0175,Gamma Foods,Construction,North,Delhi,2000000,K. Gupta,Mid-Market,48,B,Active
CUST0176,Delta Industries,Manufacturing,West,Delhi,500000,K. Gupta,Mid-Market,61,C,Inactive
CUST0177,Apex Foods,IT Services,South,Kolkata,3000000,R. Singh,Enterprise,24,A,Active
CUST0178,Nova Pharma,IT Services,West,Jaipur,1000000,N. Verma,Mid-Market,65,C,Active
CUST0179,Prime Pharma,FMCG,North,Hyderabad,2000000,S. Kapoor,SME,25,A,Active
CUST0180,Gamma Traders,FMCG,West,Mumbai,2000000,P. Mehta,SME,28,A,Active
CUST0181,Beta Logistics,Retail,South,Mumbai,2000000,V. Rao,Enterprise,15,A,Active
CUST0182,Prime Pharma,Retail,South,Jaipur,3000000,S. Kapoor,Mid-Market,25,A,Active
CUST0183,Alpha Pharma,Construction,West,Hyderabad,1000000,P. Mehta,Mid-Market,50,B,Inactive
CUST0184,Beta Foods,FMCG,North,Mumbai,3000000,S. Kapoor,Mid-Market,60,C,Active
CUST0185,Global Traders,Pharma,North,Mumbai,1500000,V. Rao,SME,41,B,Active
CUST0186,Zenith Logistics,FMCG,East,Jaipur,2000000,S. Kapoor,Enterprise,71,D,Active
CUST0187,Vertex Enterprises,Pharma,East,Jaipur,500000,P. Mehta,Enterprise,51,C,Active
CUST0188,Prime Enterprises,Construction,West,Delhi,750000,S. Kapoor,SME,18,A,Active
CUST0189,Alpha Industries,Healthcare,East,Mumbai,2000000,S. Kapoor,Mid-Market,78,D,Active
CUST0190,Apex Pharma,Automotive,East,Chennai,500000,K. Gupta,Mid-Market,80,D,Active
CUST0191,Global Logistics,Manufacturing,West,Pune,500000,R. Singh,SME,15,A,Active
CUST0192,Prime Logistics,Construction,West,Jaipur,500000,A. Sharma,SME,49,B,Active
CUST0193,Prime Solutions,Pharma,South,Kolkata,750000,S. Kapoor,Mid-Market,43,B,Inactive
CUST0194,Prime Solutions,Construction,South,Bengaluru,750000,A. Sharma,Enterprise,65,C,Active
CUST0195,Nova Pharma,FMCG,South,Bengaluru,1000000,K. Gupta,SME,47,B,Active
CUST0196,Beta Traders,Manufacturing,East,Mumbai,500000,R. Singh,Mid-Market,19,A,Active
CUST0197,Alpha Logistics,Pharma,South,Chennai,1500000,S. Kapoor,SME,78,D,Active
CUST0198,Vertex Enterprises,Manufacturing,East,Pune,500000,S. Kapoor,Mid-Market,80,D,Active
CUST0199,Beta Traders,Retail,West,Hyderabad,2000000,A. Sharma,Enterprise,60,C,Active
CUST0200,Delta Industries,Manufacturing,North,Bengaluru,2000000,P. Mehta,Mid-Market,51,C,Active
CUST0201,Gamma Logistics,Manufacturing,East,Jaipur,3000000,S. Kapoor,SME,63,C,Active
CUST0202,Zenith Retail,Manufacturing,East,Jaipur,250000,N. Verma,Enterprise,46,B,Active
CUST0203,Zenith Industries,Automotive,South,Chennai,2000000,R. Singh,SME,57,C,Active
CUST0204,Zenith Industries,FMCG,North,Delhi,250000,A. Sharma,SME,53,C,Active
CUST0205,Global Industries,Healthcare,South,Jaipur,3000000,P. Mehta,SME,31,B,Active
CUST0206,Global Pharma,Manufacturing,South,Delhi,2000000,A. Sharma,SME,68,C,Active
CUST0207,Beta Logistics,Construction,East,Jaipur,250000,V. Rao,Enterprise,18,A,Active
CUST0208,Nova Enterprises,Construction,North,Jaipur,3000000,K. Gupta,Mid-Market,56,C,Active
CUST0209,Prime Logistics,Automotive,South,Bengaluru,1500000,V. Rao,Enterprise,19,A,Inactive
CUST0210,Vertex Foods,IT Services,South,Delhi,3000000,R. Singh,Mid-Market,21,A,Active
CUST0211,Global Retail,Automotive,North,Mumbai,250000,S. Kapoor,SME,15,A,Active
CUST0212,Beta Logistics,Automotive,East,Hyderabad,1500000,N. Verma,Enterprise,55,C,Active
CUST0213,Global Enterprises,Pharma,North,Chennai,2000000,K. Gupta,SME,24,A,Active
CUST0214,Nova Logistics,FMCG,South,Chennai,750000,A. Sharma,SME,56,C,Active
CUST0215,Zenith Foods,Construction,West,Bengaluru,250000,A. Sharma,SME,69,C,Active
CUST0216,Gamma Logistics,Healthcare,East,Delhi,3000000,K. Gupta,Enterprise,60,C,Active
CUST0217,Vertex Industries,Manufacturing,East,Delhi,500000,A. Sharma,Enterprise,15,A,Active
CUST0218,Zenith Industries,Automotive,North,Pune,3000000,K. Gupta,SME,48,B,Active
CUST0219,Zenith Pharma,IT Services,West,Delhi,500000,N. Verma,Mid-Market,45,B,Active
CUST0220,Apex Solutions,FMCG,East,Mumbai,1500000,K. Gupta,Mid-Market,37,B,Active
CUST0221,Zenith Enterprises,Construction,West,Kolkata,250000,P. Mehta,Enterprise,61,C,Active
CUST0222,Gamma Retail,Healthcare,East,Pune,3000000,K. Gupta,Enterprise,33,B,Active
CUST0223,Nova Solutions,Automotive,East,Mumbai,500000,K. Gupta,SME,61,C,Active
CUST0224,Vertex Foods,Pharma,West,Pune,2000000,P. Mehta,Mid-Market,54,C,Active
CUST0225,Nova Enterprises,IT Services,East,Bengaluru,1500000,P. Mehta,SME,60,C,Active
CUST0226,Delta Foods,Construction,North,Delhi,750000,S. Kapoor,Mid-Market,31,B,Active
CUST0227,Gamma Industries,Automotive,West,Delhi,2000000,R. Singh,Enterprise,71,D,Active
CUST0228,Global Industries,FMCG,North,Pune,250000,K. Gupta,Mid-Market,20,A,Active
CUST0229,Zenith Logistics,FMCG,East,Mumbai,750000,V. Rao,SME,69,C,Active
CUST0230,Alpha Enterprises,Construction,North,Jaipur,1000000,K. Gupta,Mid-Market,27,A,Active
CUST0231,Vertex Traders,Construction,West,Hyderabad,3000000,S. Kapoor,Mid-Market,29,A,Active
CUST0232,Nova Retail,IT Services,West,Mumbai,1000000,P. Mehta,SME,52,C,Active
CUST0233,Apex Traders,FMCG,North,Delhi,1500000,A. Sharma,Mid-Market,44,B,Active
CUST0234,Nova Retail,Manufacturing,West,Chennai,500000,P. Mehta,SME,20,A,Active
CUST0235,Prime Solutions,Manufacturing,East,Bengaluru,3000000,K. Gupta,SME,46,B,Active
CUST0236,Nova Industries,IT Services,North,Kolkata,500000,P. Mehta,SME,16,A,Active
CUST0237,Apex Traders,IT Services,South,Chennai,1500000,V. Rao,Mid-Market,42,B,Active
CUST0238,Global Retail,Construction,South,Chennai,2000000,K. Gupta,Mid-Market,24,A,Active
CUST0239,Alpha Traders,Pharma,East,Bengaluru,500000,P. Mehta,SME,45,B,Active
CUST0240,Global Retail,IT Services,East,Hyderabad,1000000,R. Singh,SME,48,B,Active
CUST0241,Delta Logistics,FMCG,North,Mumbai,750000,K. Gupta,SME,46,B,Active
CUST0242,Apex Enterprises,Construction,South,Hyderabad,750000,P. Mehta,SME,35,B,Inactive
CUST0243,Beta Pharma,Manufacturing,South,Kolkata,750000,A. Sharma,Mid-Market,27,A,Active
CUST0244,Gamma Pharma,FMCG,West,Bengaluru,3000000,A. Sharma,Mid-Market,32,B,Active
CUST0245,Delta Logistics,IT Services,East,Kolkata,1500000,A. Sharma,SME,16,A,Active
CUST0246,Gamma Logistics,FMCG,East,Kolkata,750000,N. Verma,SME,33,B,Active
CUST0247,Zenith Enterprises,Pharma,South,Delhi,250000,K. Gupta,Mid-Market,73,D,Active
CUST0248,Beta Solutions,IT Services,North,Chennai,3000000,S. Kapoor,Mid-Market,24,A,Active
CUST0249,Beta Solutions,Healthcare,North,Delhi,2000000,R. Singh,SME,17,A,Active
CUST0250,Alpha Traders,Pharma,South,Pune,1500000,A. Sharma,SME,58,C,Active
CUST0251,Vertex Pharma,Pharma,East,Hyderabad,2000000,K. Gupta,Mid-Market,79,D,Active
CUST0252,Vertex Logistics,FMCG,West,Chennai,500000,A. Sharma,Enterprise,52,C,Active
CUST0253,Alpha Pharma,FMCG,South,Hyderabad,1000000,P. Mehta,SME,22,A,Active
CUST0254,Beta Enterprises,Healthcare,West,Pune,2000000,P. Mehta,SME,68,C,Active
CUST0255,Global Foods,IT Services,South,Delhi,2000000,N. Verma,Mid-Market,38,B,Active
CUST0256,Apex Pharma,Automotive,South,Chennai,500000,V. Rao,SME,65,C,Active
CUST0257,Vertex Retail,Healthcare,North,Pune,1000000,A. Sharma,SME,53,C,Active
CUST0258,Prime Solutions,Retail,East,Delhi,1000000,N. Verma,Enterprise,41,B,Active
CUST0259,Nova Logistics,IT Services,West,Hyderabad,750000,K. Gupta,Mid-Market,42,B,Active
CUST0260,Prime Solutions,FMCG,West,Pune,750000,S. Kapoor,SME,56,C,Active
CUST0261,Beta Foods,Pharma,South,Delhi,1000000,K. Gupta,Mid-Market,18,A,Active
CUST0262,Prime Enterprises,Pharma,North,Mumbai,500000,N. Verma,Enterprise,75,D,Active
CUST0263,Delta Traders,Construction,North,Mumbai,750000,R. Singh,Mid-Market,18,A,Active
CUST0264,Vertex Retail,Retail,South,Delhi,500000,N. Verma,Mid-Market,25,A,Active
CUST0265,Zenith Foods,Construction,North,Delhi,3000000,N. Verma,SME,55,C,Active
CUST0266,Apex Foods,Construction,North,Mumbai,750000,P. Mehta,Mid-Market,18,A,Active
CUST0267,Vertex Solutions,FMCG,South,Bengaluru,1500000,P. Mehta,Mid-Market,26,A,Active
CUST0268,Nova Solutions,Construction,West,Delhi,500000,S. Kapoor,SME,80,D,Active
CUST0269,Zenith Retail,IT Services,East,Kolkata,1500000,A. Sharma,Enterprise,38,B,Active
CUST0270,Prime Foods,FMCG,South,Pune,250000,V. Rao,SME,67,C,Active
CUST0271,Prime Retail,IT Services,North,Delhi,250000,K. Gupta,SME,68,C,Active
CUST0272,Alpha Traders,Construction,North,Pune,750000,P. Mehta,SME,73,D,Active
CUST0273,Vertex Logistics,Manufacturing,South,Chennai,750000,A. Sharma,Mid-Market,76,D,Active
CUST0274,Gamma Enterprises,FMCG,South,Mumbai,250000,P. Mehta,Mid-Market,15,A,Active
CUST0275,Zenith Enterprises,Pharma,South,Jaipur,3000000,A. Sharma,Enterprise,21,A,Active
CUST0276,Global Enterprises,Retail,South,Pune,3000000,S. Kapoor,SME,39,B,Active
CUST0277,Delta Solutions,IT Services,West,Mumbai,1000000,N. Verma,SME,80,D,Active
CUST0278,Prime Retail,Manufacturing,East,Kolkata,250000,V. Rao,SME,54,C,Active
CUST0279,Gamma Traders,Healthcare,East,Kolkata,500000,S. Kapoor,SME,66,C,Active
